Paragraph,CF – Contribution flow,CT – Choose a task,TC – Talk to the community,BW – Build local workspace,DC – Deal with the code,SC – Submit the changes,Filename,Paragraph Index,Document
4.  Do not import from a project's index.ts (e.g import { Token } from '../src';). Always import from the source file itself.,0,0,0,0,1,0,0xProject@0x-monorepo.xlsx,49,contributing
5.  Generic error variables should be named err instead of e or error.,0,0,0,0,1,0,0xProject@0x-monorepo.xlsx,50,contributing
"6.  If you must cast a variable to any - try to type it back as fast as possible. (e.g., const cw = ((zeroEx as any)._contractWrappers as ContractWrappers);). This ensures subsequent code is type-safe.",0,0,0,0,1,0,0xProject@0x-monorepo.xlsx,51,contributing
"7.  Our enum conventions coincide with the recommended TypeScript conventions, using capitalized keys, and all-caps snake-case values. Eg GetStats = 'GET_STATS'",0,0,0,0,1,0,0xProject@0x-monorepo.xlsx,52,contributing
"8.  All public, exported methods/functions/classes must have associated Javadoc-style comments.",0,0,0,0,1,0,0xProject@0x-monorepo.xlsx,53,contributing
Fix submit-coverage CI failure,0,0,0,0,0,1,0xProject@0x-monorepo.xlsx,54,contributing
"If you simply fork the repo and then create a PR from it, your PR will fail the submit-coverage check on CI. This is because the 0x CircleCI configuration sets the COVERALLS_REPO_TOKEN environment variable to the token for 0xProject/0x-monorepo, but when running the check against your fork the token needs to match your repo's name your-username/0x-monorepo.",0,0,0,0,0,1,0xProject@0x-monorepo.xlsx,55,contributing
"To facilitate this check, after creating your fork, but before creating the branch for your PR, do the following:",0,0,0,0,0,1,0xProject@0x-monorepo.xlsx,56,contributing
"1.  Log in to coveralls.io, go to Add Repos, and enable your fork. Then go to the settings for that repo, and copy the Repo Token identifier.",0,0,0,0,0,1,0xProject@0x-monorepo.xlsx,57,contributing
"2.  Log in to CircleCI, go to Add Projects, click the Set Up Project button corresponding to your fork, and then click Start Building. (Aside from step 3 below, no actual set up is needed, since it will use the .circleci/config.yml file in 0x-monorepo, so you can ignore all of the instruction/explanation given on the page with the Start Building button.)",0,0,0,0,0,1,0xProject@0x-monorepo.xlsx,58,contributing
"3.  In CircleCI, configure your project to add an environment variable, with name COVERALLS_REPO_TOKEN, and for the value paste in the Repo Token you copied in step 1.",0,0,0,0,0,1,0xProject@0x-monorepo.xlsx,59,contributing
"Now, when you push to your branch, CircleCI will automatically run all of the checks in your own instance, and the coverage check will work since it has the proper Repo Token, and the PR will magically refer to your own checks rather than running them in the 0x CircleCI instance.",0,0,0,0,0,1,0xProject@0x-monorepo.xlsx,60,contributing
Contributing,0,0,0,0,0,0,24ark@react-native-step-indicator.xlsx,2,contributing
We want this community to be friendly and respectful to each other. Please follow it in all your interactions with the project.,0,0,0,0,0,0,24ark@react-native-step-indicator.xlsx,3,contributing
Development workflow,1,0,0,0,0,0,24ark@react-native-step-indicator.xlsx,4,contributing
"To get started with the project, run yarn bootstrap in the root directory to install the required dependencies for each package:",1,0,0,0,0,0,24ark@react-native-step-indicator.xlsx,5,contributing
yarn bootstrap,1,0,0,0,0,0,24ark@react-native-step-indicator.xlsx,6,contributing
"While developing, you can run the example app to test your changes.",1,0,0,0,0,0,24ark@react-native-step-indicator.xlsx,7,contributing
To start the packager:,1,0,0,0,0,0,24ark@react-native-step-indicator.xlsx,8,contributing
yarn example start,1,0,0,0,0,0,24ark@react-native-step-indicator.xlsx,9,contributing
To run the example app on Android:,1,0,0,0,0,0,24ark@react-native-step-indicator.xlsx,10,contributing
yarn example android,1,0,0,0,0,0,24ark@react-native-step-indicator.xlsx,11,contributing
To run the example app on iOS:,1,0,0,0,0,0,24ark@react-native-step-indicator.xlsx,12,contributing
yarn example ios,1,0,0,0,0,0,24ark@react-native-step-indicator.xlsx,13,contributing
To run the example app on Web:,1,0,0,0,0,0,24ark@react-native-step-indicator.xlsx,14,contributing
yarn example web,1,0,0,0,0,0,24ark@react-native-step-indicator.xlsx,15,contributing
Make sure your code passes TypeScript and ESLint. Run the following to verify:,1,0,0,0,0,0,24ark@react-native-step-indicator.xlsx,16,contributing
"yarn typescript
yarn lint",1,0,0,0,0,0,24ark@react-native-step-indicator.xlsx,17,contributing
"To fix formatting errors, run the following:",1,0,0,0,0,0,24ark@react-native-step-indicator.xlsx,18,contributing
yarn lint --fix,1,0,0,0,0,0,24ark@react-native-step-indicator.xlsx,19,contributing
Remember to add tests for your change if possible. Run the unit tests by:,1,0,0,0,0,0,24ark@react-native-step-indicator.xlsx,20,contributing
yarn test,1,0,0,0,0,0,24ark@react-native-step-indicator.xlsx,21,contributing
Commit message convention,0,0,0,0,0,1,24ark@react-native-step-indicator.xlsx,22,contributing
We follow the conventional commits specification for our commit messages:,0,0,0,0,0,1,24ark@react-native-step-indicator.xlsx,23,contributing
"- fix: bug fixes, e.g. fix crash due to deprecated method.",0,0,0,0,0,1,24ark@react-native-step-indicator.xlsx,24,contributing
"- feat: new features, e.g. add new method to the module.",0,0,0,0,0,1,24ark@react-native-step-indicator.xlsx,25,contributing
"- refactor: code refactor, e.g. migrate from class components to hooks.",0,0,0,0,0,1,24ark@react-native-step-indicator.xlsx,26,contributing
"- docs: changes into documentation, e.g. add usage example for the module..",0,0,0,0,0,1,24ark@react-native-step-indicator.xlsx,27,contributing
"- test: adding or updating tests, eg add integration tests using detox.",0,0,0,0,0,1,24ark@react-native-step-indicator.xlsx,28,contributing
"- chore: tooling changes, e.g. change CI config.",0,0,0,0,0,1,24ark@react-native-step-indicator.xlsx,29,contributing
Our pre-commit hooks verify that your commit message matches this format when committing.,0,0,0,0,0,1,24ark@react-native-step-indicator.xlsx,30,contributing
Linting and tests,0,0,0,0,1,0,24ark@react-native-step-indicator.xlsx,31,contributing
"ESLint, Prettier, TypeScript",0,0,0,0,1,0,24ark@react-native-step-indicator.xlsx,32,contributing
"We use TypeScript for type checking, ESLint with Prettier for linting and formatting the code, and Jest for testing.",0,0,0,0,1,0,24ark@react-native-step-indicator.xlsx,33,contributing
Our pre-commit hooks verify that the linter and tests pass when committing.,0,0,0,0,1,0,24ark@react-native-step-indicator.xlsx,34,contributing
Scripts,0,0,0,0,1,0,24ark@react-native-step-indicator.xlsx,35,contributing
The package.json file contains various scripts for common tasks:,0,0,0,0,1,0,24ark@react-native-step-indicator.xlsx,36,contributing
- yarn bootstrap: setup project by installing all dependencies and pods.,0,0,0,0,1,0,24ark@react-native-step-indicator.xlsx,37,contributing
- yarn typescript: type-check files with TypeScript.,0,0,0,0,1,0,24ark@react-native-step-indicator.xlsx,38,contributing
- yarn lint: lint files with ESLint.,0,0,0,0,1,0,24ark@react-native-step-indicator.xlsx,39,contributing
- yarn test: run unit tests with Jest.,0,0,0,0,1,0,24ark@react-native-step-indicator.xlsx,40,contributing
- yarn example start: start the Metro server for the example app.,0,0,0,0,1,0,24ark@react-native-step-indicator.xlsx,41,contributing
- yarn example android: run the example app on Android.,0,0,0,0,1,0,24ark@react-native-step-indicator.xlsx,42,contributing
- yarn example ios: run the example app on iOS.,0,0,0,0,1,0,24ark@react-native-step-indicator.xlsx,43,contributing
Sending a pull request,0,0,0,0,0,1,24ark@react-native-step-indicator.xlsx,44,contributing
Working on your first pull request? You can learn how from this free series: How to Contribute to an Open Source Project on GitHub.,0,0,0,0,0,1,24ark@react-native-step-indicator.xlsx,45,contributing
When you're sending a pull request:,0,0,0,0,0,1,24ark@react-native-step-indicator.xlsx,46,contributing
- Prefer small pull requests focused on one change.,0,0,0,0,0,1,24ark@react-native-step-indicator.xlsx,47,contributing
- Verify that linters and tests are passing.,0,0,0,0,0,1,24ark@react-native-step-indicator.xlsx,48,contributing
- Review the documentation to make sure it looks good.,0,0,0,0,0,1,24ark@react-native-step-indicator.xlsx,49,contributing
- Follow the pull request template when opening a pull request.,0,0,0,0,0,1,24ark@react-native-step-indicator.xlsx,50,contributing
"- For pull requests that change the API or implementation, discuss with maintainers first by opening an issue.",0,0,0,0,0,1,24ark@react-native-step-indicator.xlsx,51,contributing
Code of Conduct,0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,52,contributing
Our Pledge,0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,53,contributing
"We as members, contributors, and leaders pledge to make participation in our community a harassment-free experience for everyone, regardless of age, body size, visible or invisible disability, ethnicity, sex characteristics, gender identity and expression, level of experience, education, socio-economic status, nationality, personal appearance, race, religion, or sexual identity and orientation.",0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,54,contributing
"We pledge to act and interact in ways that contribute to an open, welcoming, diverse, inclusive, and healthy community.",0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,55,contributing
Our Standards,0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,56,contributing
Examples of behavior that contributes to a positive environment for our community include:,0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,57,contributing
- Demonstrating empathy and kindness toward other people,0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,58,contributing
"- Being respectful of differing opinions, viewpoints, and experiences",0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,59,contributing
- Giving and gracefully accepting constructive feedback,0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,60,contributing
"- Accepting responsibility and apologizing to those affected by our mistakes, and learning from the experience",0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,61,contributing
"- Focusing on what is best not just for us as individuals, but for the overall community",0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,62,contributing
Examples of unacceptable behavior include:,0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,63,contributing
"- The use of sexualized language or imagery, and sexual attention or
advances of any kind",0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,64,contributing
"- Trolling, insulting or derogatory comments, and personal or political attacks",0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,65,contributing
- Public or private harassment,0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,66,contributing
"- Publishing others' private information, such as a physical or email
address, without their explicit permission",0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,67,contributing
"- Other conduct which could reasonably be considered inappropriate in a
professional setting",0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,68,contributing
Enforcement Responsibilities,0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,69,contributing
"Community leaders are responsible for clarifying and enforcing our standards of acceptable behavior and will take appropriate and fair corrective action in response to any behavior that they deem inappropriate, threatening, offensive, or harmful.",0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,70,contributing
"Community leaders have the right and responsibility to remove, edit, or reject comments, commits, code, wiki edits, issues, and other contributions that are not aligned to this Code of Conduct, and will communicate reasons for moderation decisions when appropriate.",0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,71,contributing
Scope,0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,72,contributing
"This Code of Conduct applies within all community spaces, and also applies when an individual is officially representing the community in public spaces. Examples of representing our community include using an official e-mail address, posting via an official social media account, or acting as an appointed representative at an online or offline event.",0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,73,contributing
Enforcement,0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,74,contributing
"Instances of abusive, harassing, or otherwise unacceptable behavior may be reported to the community leaders responsible for enforcement at [INSERT CONTACT METHOD]. All complaints will be reviewed and investigated promptly and fairly.",0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,75,contributing
All community leaders are obligated to respect the privacy and security of the reporter of any incident.,0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,76,contributing
Enforcement Guidelines,0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,77,contributing
Community leaders will follow these Community Impact Guidelines in determining the consequences for any action they deem in violation of this Code of Conduct:,0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,78,contributing
1. Correction,0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,79,contributing
Community Impact: Use of inappropriate language or other behavior deemed unprofessional or unwelcome in the community.,0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,80,contributing
"Consequence: A private, written warning from community leaders, providing clarity around the nature of the violation and an explanation of why the behavior was inappropriate. A public apology may be requested.",0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,81,contributing
2. Warning,0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,82,contributing
Community Impact: A violation through a single incident or series of actions.,0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,83,contributing
"Consequence: A warning with consequences for continued behavior. No interaction with the people involved, including unsolicited interaction with those enforcing the Code of Conduct, for a specified period of time. This includes avoiding interactions in community spaces as well as external channels like social media. Violating these terms may lead to a temporary or permanent ban.",0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,84,contributing
3. Temporary Ban,0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,85,contributing
"Community Impact: A serious violation of community standards, including sustained inappropriate behavior.",0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,86,contributing
"Consequence: A temporary ban from any sort of interaction or public communication with the community for a specified period of time. No public or private interaction with the people involved, including unsolicited interaction with those enforcing the Code of Conduct, is allowed during this period. Violating these terms may lead to a permanent ban.",0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,87,contributing
4. Permanent Ban,0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,88,contributing
"Community Impact: Demonstrating a pattern of violation of community standards, including sustained inappropriate behavior, harassment of an individual, or aggression toward or disparagement of classes of individuals.",0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,89,contributing
Consequence: A permanent ban from any sort of public interaction within the community.,0,0,1,0,0,0,24ark@react-native-step-indicator.xlsx,90,contributing
Attribution,0,0,0,0,0,0,24ark@react-native-step-indicator.xlsx,91,contributing
"This Code of Conduct is adapted from the Contributor Covenant, version 2.0,
available at https://www.contributor-covenant.org/version/2/0/code_of_conduct.html.",0,0,0,0,0,0,24ark@react-native-step-indicator.xlsx,92,contributing
Community Impact Guidelines were inspired by Mozilla's code of conduct enforcement ladder.,0,0,0,0,0,0,24ark@react-native-step-indicator.xlsx,93,contributing
"For answers to common questions about this code of conduct, see the FAQ at
https://www.contributor-covenant.org/faq. Translations are available at https://www.contributor-covenant.org/translations.",0,0,0,0,0,0,24ark@react-native-step-indicator.xlsx,94,contributing
Contributing to 24 Pull Requests,0,0,0,0,0,0,24pullrequests@24pullrequests.xlsx,2,contributing
Want to contribute to 24 Pull Requests? That's great! Here are a couple of guidelines that will help you contribute. Before we get started: Please note that this project is released with a Contributor Code of Conduct to ensure that this project is a welcoming place for everyone to contribute to. By participating in this project you agree to abide by its terms.,0,0,0,0,0,0,24pullrequests@24pullrequests.xlsx,3,contributing
Overview,0,0,0,0,0,0,24pullrequests@24pullrequests.xlsx,4,contributing
- Contribution workflow,0,0,0,0,0,0,24pullrequests@24pullrequests.xlsx,5,contributing
- Setup instructions,0,0,0,0,0,0,24pullrequests@24pullrequests.xlsx,6,contributing
- Setup using Vagrant,0,0,0,0,0,0,24pullrequests@24pullrequests.xlsx,7,contributing
- Reporting a bug,0,0,0,0,0,0,24pullrequests@24pullrequests.xlsx,8,contributing
- Contributing to an existing issue,0,0,0,0,0,0,24pullrequests@24pullrequests.xlsx,9,contributing
- Our labels,0,0,0,0,0,0,24pullrequests@24pullrequests.xlsx,10,contributing
- Additional info,0,0,0,0,0,0,24pullrequests@24pullrequests.xlsx,11,contributing
Contribution workflow,1,0,0,0,0,0,24pullrequests@24pullrequests.xlsx,12,contributing
- Fork the project.,1,0,0,0,0,0,24pullrequests@24pullrequests.xlsx,13,contributing
- Make your feature addition or bug fix.,1,0,0,0,0,0,24pullrequests@24pullrequests.xlsx,14,contributing
- Add tests for it. This is important so we don't break it in a future version unintentionally.,1,0,0,0,0,0,24pullrequests@24pullrequests.xlsx,15,contributing
- Send a pull request. Bonus points for topic branches.,1,0,0,0,0,0,24pullrequests@24pullrequests.xlsx,16,contributing
Setup instructions,0,0,0,1,0,0,24pullrequests@24pullrequests.xlsx,17,contributing
"You can find in-depth instructions to install the correct Ruby version, Postgres, and to set up the database in our README.",0,0,0,1,0,0,24pullrequests@24pullrequests.xlsx,18,contributing
Reporting a bug,0,0,0,0,0,0,24pullrequests@24pullrequests.xlsx,19,contributing
"So you've found a bug, and want to help us fix it? Before filing a bug report, please double-check the bug hasn't already been reported. You can do so on our issue tracker. If something hasn't been raised, you can go ahead and create a new issue with the following information:",0,0,0,0,0,0,24pullrequests@24pullrequests.xlsx,20,contributing
- On which page did the error happen?,0,0,0,0,0,0,24pullrequests@24pullrequests.xlsx,21,contributing
- How can the error be reproduced?,0,0,0,0,0,0,24pullrequests@24pullrequests.xlsx,22,contributing
"- If possible, please also provide an error message or a screenshot to illustrate the problem",0,0,0,0,0,0,24pullrequests@24pullrequests.xlsx,23,contributing
"If you want to be really thorough, there is a great overview on Stack Overflow of what you should consider when reporting a bug.",0,0,0,0,0,0,24pullrequests@24pullrequests.xlsx,24,contributing
"It goes without saying that you're welcome to help investigate further and/or find a fix for the bug. If you want to do so, just mention it in your bug report and offer your help!",0,0,0,0,0,0,24pullrequests@24pullrequests.xlsx,25,contributing
Contributing to an existing issue,0,1,0,0,0,0,24pullrequests@24pullrequests.xlsx,26,contributing
Finding an issue to work on,0,1,0,0,0,0,24pullrequests@24pullrequests.xlsx,27,contributing
"We've got a few open issues and are always glad to get help on that front. You can view the list of issues here. Most of the issues are labelled, so you can use the labels to get an idea of which issue could be a good fit for you. (Here's a good article on how to find your first bug to fix).",0,1,0,0,0,0,24pullrequests@24pullrequests.xlsx,28,contributing
"Before getting to work, take a look at the issue and at the conversation around it. Has someone already offered to work on the issue? Has someone been assigned to the issue? If so, you might want to check with them to see whether they're still actively working on it.",0,1,0,0,0,0,24pullrequests@24pullrequests.xlsx,29,contributing
"If the issue is a few months old, it might be a good idea to write a short comment to double-check that the issue or feature is still a valid one to jump on.",0,1,0,0,0,0,24pullrequests@24pullrequests.xlsx,30,contributing
"Feel free to ask for more detail on what is expected: are there any more details or specifications you need to know?
And if at any point you get stuck: don't hesitate to ask for help.",0,1,0,0,0,0,24pullrequests@24pullrequests.xlsx,31,contributing
Making your contribution,1,0,0,0,0,0,24pullrequests@24pullrequests.xlsx,32,contributing
"We've outlined the contribution workflow here. If you're a first-timer, don't worry! GitHub has a ton of guides to help you through your first pull request: You can find out more about pull requests here and about creating a pull request here.",1,0,0,0,0,0,24pullrequests@24pullrequests.xlsx,33,contributing
Our labels,0,1,0,0,0,0,24pullrequests@24pullrequests.xlsx,34,contributing
"- beginner: One of our most important kinds of issues! These issues have been marked by the maintainers as small, low-impact changes and fixes, ideal for those just dipping their toes for the first time into the world of contributing to Open Source software. These are by no means any less important than any other issues! We'd appreciate if our more experienced contributors would leave these to our newer compatriots so we can be as fair as possible to everyone.",0,1,0,0,0,0,24pullrequests@24pullrequests.xlsx,35,contributing
"- blocked: We will generally mark an issue as blocked if it requires more context for us to fix, is waiting on an updated version of a library that the issue depends on, or is waiting on a maintainer to do something before it can be answered. There may be other conditions in which we'll mark an issue as blocked, and we'll make this clear in the issue comments.",0,1,0,0,0,0,24pullrequests@24pullrequests.xlsx,36,contributing
- bug: An issue gets marked as a bug if (surprise!) the issue is linked to a bug in our code or something broken in our infrastructure. Bugs are usually the highest priority kind of issue as they will affect our users.,0,1,0,0,0,0,24pullrequests@24pullrequests.xlsx,37,contributing
"- bugsnag: If an issue or exception in production code has been flagged via Bugsnag, it is labelled with this automatically.",0,1,0,0,0,0,24pullrequests@24pullrequests.xlsx,38,contributing
"- documentation: If an issue requires changes or clarification to our documentation (READMEs, wiki, code comments, etc.) then it will be marked with this issue. These issues normally do not pertain to code changes and are ideal for those who don't necessarily want to get their hands dirty with code.",0,1,0,0,0,0,24pullrequests@24pullrequests.xlsx,39,contributing
"- duplicate: If an issue has been reported before, it will be marked with this label. This flags that a previous issue may not have been fixed as expected, or in the case of things we don't intend to fix or issues currently in discussion in another open issue, it means that we are likely to close the issue.",0,1,0,0,0,0,24pullrequests@24pullrequests.xlsx,40,contributing
"- enhancement: These are improvements to the codebase that are ""nice to have"", and are usually medium to high impact but low importance. This includes improvements to features that already exist and may be assigned a milestone to give you an idea as to when it might be implemented. These are great for contributors that might have some extra spare time on their hands and would prefer to change existing code rather than add large chunks of brand new code.",0,1,0,0,0,0,24pullrequests@24pullrequests.xlsx,41,contributing
